LIPID_ID,IL_SMILES,IL_head_id,IL_head_SMILES,Isocyanide_id,Isocyanide_SMILES,Ketone_id,Ketone_SMILES,Carboxylic_acid_id,Carboxylic_SMILES,ARCHITECTURE,REACTION_TYP
LNPhub_2V00000011,CCCCC(CC)COC(=O)CCCC(CCCC(=O)OCC(CC)CCCC)(C(=O)NCC(=O)OC(C)(C)C)N(CCCN(CCCC)CCCC)C(=O)CC,A34,N(CCCC)(CCCC)CCCN,Is2,NCC(=O)OC(C)(C)C,K27,OCC(CC)CCCC,Ac1,C(=O)CC,ARCH_HEAD_LINKER_TAILA_TAILB,4CR
LNPhub_2V00000012,C=C1CC[C](OC(=O)CCCC(CCCC(=O)O[C]2CCC(=C)/C(=C\C=C3/CCC[C@@]4(C)[C]3CC[C]4[C@@H](C)/C=C/[C@H](C)C(C)C)C2)(C(=O)NC2[C@H]3C[C@@H]4C[C@@H](C[C@H]2C4)C3)N(CCN(CCO)CCO)C(=O)C(CCCC)CCCC)C/C1=C/C=C1\CCC[C@@]2(C)[C]1CC[C]2[C@@H](C)/C=C/[C@H](C)C(C)C,A44,N(CCO)(CCO)CCN,Is10,NC1[C@H]2C[C@@H]3C[C@H](C2)C[C@H]1C3,K29,O[C@@]1CCC(=C)/C(C1)=C\C=C2/CCC[C@@]3(C)[C@]2CC[C@]3[C@@H](C)/C=C/[C@H](C)C(C)C,Ac48,C(=O)C(CCCC)CCCC,ARCH_HEAD_LINKER_TAILA_TAILB,4CR
LNPhub_2V00000013,C=C1CC[C](OC(=O)CCCC(CCCC(=O)O[C]2CCC(=C)/C(=C\C=C3/CCC[C@@]4(C)[C]3CC[C]4[C@@H](C)/C=C/[C@H](C)C(C)C)C2)(C(=O)NC23C[C@H]4C[C@@H](C2)C[C@@H](C3)C4)N(C(=O)C23CC4C[C@@](C)(C2)C[C@](C)(C4)C3)C(C)CCCN(CC)CC)C/C1=C/C=C1\CCC[C@@]2(C)[C]1CC[C]2[C@@H](C)/C=C/[C@H](C)C(C)C,A9,CCN(CC)CCCC(C)N,Is7,NC12C[C@H]3C[C@H](C[C@H](C3)C1)C2,K29,O[C@@]1CCC(=C)/C(C1)=C\C=C2/CCC[C@@]3(C)[C@]2CC[C@]3[C@@H](C)/C=C/[C@H](C)C(C)C,Ac34,C(=O)C78C[C@]9(C)CC(C7)C[C@](C9)(C)C8,ARCH_HEAD_LINKER_TAILA_TAILB,4CR
LNPhub_2V00000014,CCCCCCC(=O)N(CCCN(CC)CC)C(CCCC(=O)OCC(CC)CCCC)(CCCC(=O)OCC(CC)CCCC)C(=O)NC12C[C@H]3C[C@@H](C1)C[C@@H](C2)C3,A11,N(CC)(CC)CCCN,Is7,NC12C[C@H]3C[C@H](C[C@H](C3)C1)C2,K27,OCC(CC)CCCC,Ac5,C(=O)CCCCCC,ARCH_HEAD_LINKER_TAILA_TAILB,4CR
LNPhub_2V00000015,CCCCCCCCC/C=C\CCCCCCCCOC(=O)CCCC(CCCC(=O)OCCCCCCCC/C=C\CCCCCCCCC)(C(=O)NC12C[C@H]3C[C@@H](C1)C[C@@H](C2)C3)N(CCCN1CCCCC1CC)C(=O)C(CCCC)CC(C)C,A36,C1(CC)CCCCN1CCCN,Is7,NC12C[C@H]3C[C@H](C[C@H](C3)C1)C2,K1,OCCCCCCCC/C=C\CCCCCCCCC,Ac45,C(=O)C(CCCC)CC(C)C,ARCH_HEAD_LINKER_TAILA_TAILB,4CR
LNPhub_2V00000016,CCCCCCCC/C=C\CCCCCCCCNC(=O)C(CCCC(=O)OCC(CCCCCCCCCC)CCCCCCCCCCCC)(CCCC(=O)OCC(CCCCCCCCCC)CCCCCCCCCCCC)N(CCC(C)N(C)CC)C(=O)C1CC1,A21,CCN(C)C(C)CCN,Is6,NCCCCCCCC/C=C\CCCCCCCC,K21,OCC(CCCCCCCCCCCC)CCCCCCCCCC,Ac36,C(=O)C8CC8,ARCH_HEAD_LINKER_TAILA_TAILB,4CR
LNPhub_2V00000017,CCCC(CCC)C(=O)N(CCN1CCCN(C)CC1)C(CCCC(=O)O[C@H]1C[C@@H]2CC[C@H]1C2)(CCCC(=O)O[C@H]1C[C@@H]2CC[C@H]1C2)C(=O)NCCCn1cccn1,A16,C1CN(C)CCCN1CCN,Is8,NCCCn1nccc1,K7,O[C@H]1C[C@@H]2CC[C@H]1C2,Ac49,C(=O)C(CCC)CCC,ARCH_HEAD_LINKER_TAILA_TAILB,4CR
LNPhub_2V00000018,CCCCC/C=C\C/C=C\C/C=C\C/C=C\CCCC(=O)N(CCN1CCOCC1)C(CCCC(=O)OCC(CCCCCC)CCCCCCCC)(CCCC(=O)OCC(CCCCCC)CCCCCCCC)C(=O)NCC(=O)OCCCCCCCC/C=C\C/C=C\CCCCC,A51,C1COCCN1CCN,Is9,NCC(=O)OCCCCCCCC/C=C\C/C=C\CCCCC,K19,OCC(CCCCCCCC)CCCCCC,Ac23,C(=O)CCC/C=C\C/C=C\C/C=C\C/C=C\CCCCC,ARCH_HEAD_LINKER_TAILA_TAILB,4CR
LNPhub_2V00000019,CC/C=C\CCC(=O)N(C12C[C@H]3C[C@@H](C1)C[C@@H](C2)C3)C(CCCC(=O)OCCCCCCCCC)(CCCC(=O)OCCCCCCCCC)C(=O)NCCCCCCCC/C=C\CCCCCCCC,A40,N(C12C[C@H]3C[C@H](C[C@H](C3)C1)C2),Is6,NCCCCCCCC/C=C\CCCCCCCC,K38,OCCCCCCCCC,Ac33,C(=O)CC/C=C\CC,ARCH_HEAD_LINKER_TAILA_TAILB,4CR
LNPhub_2V00000020,CCCCCCOC(=O)CCCC(CCCC(=O)OCCCCCC)(C(=O)NCC(=O)OC(C)(C)C)N(CCCN(CCCC)CCCC)C(=O)C1CCCCCC1,A34,N(CCCC)(CCCC)CCCN,Is2,NCC(=O)OC(C)(C)C,K35,OCCCCCC,Ac40,C(=O)C8CCCCCC8,ARCH_HEAD_LINKER_TAILA_TAILB,4CR
LNPhub_2V00000021,CCCCCCCCCCCOC(=O)CCCC(CCCC(=O)OCCCCCCCCCCC)(C(=O)NCC(=O)OC)N(CCN1CCCN(C)CC1)C(=O)CCCCCC(C)(C)C,A16,C1CN(C)CCCN1CCN,Is0,NCC(=O)OC,K40,OCCCCCCCCCCC,Ac50,C(=O)CCCCCC(C)(C)C,ARCH_HEAD_LINKER_TAILA_TAILB,4CR
LNPhub_2V00000022,C=C1CC[C](OC(=O)CCCC(CCCC(=O)O[C]2CCC(=C)/C(=C\C=C3/CCC[C@]4(C)[C]([C](C)CCCC(C)C)CC[C]34)C2)(C(=O)NC(C)(C)C)N(CCN(CCO)CCO)C(=O)C=C(C)/C=C/C=C(C)/C=C/C2=C(C)CCCC2(C)C)C/C1=C/C=C1\CCC[C@]2(C)[C]([C](C)CCCC(C)C)CC[C]12,A44,N(CCO)(CCO)CCN,Is3,NC(C)(C)C,K30,O[C@@]1CCC(=C)/C(C1)=C\C=C2/CCC[C@]3(C)[C@]([C@](C)CCCC(C)C)CC[C@@]23,Ac43,C(=O)/C=C(C)/C=C/C=C(C)/C=C/C1=C(C)\CCCC1(C)(C),ARCH_HEAD_LINKER_TAILA_TAILB,4CR
LNPhub_2V00000023,CCOC(=O)CNC(=O)C(CCCC(=O)O[C@H]1C[C@@H]2CC[C@H]1C2)(CCCC(=O)O[C@H]1C[C@@H]2CC[C@H]1C2)N(CCN1CCCCCC1)C(=O)C1CCCCC1,A27,C1CCCCCN1CCN,Is1,NCC(=O)OCC,K7,O[C@H]1C[C@@H]2CC[C@H]1C2,Ac39,C(=O)C8CCCCC8,ARCH_HEAD_LINKER_TAILA_TAILB,4CR
LNPhub_2V00000024,CCCCCCCC/C=C\CCCCCCCCNC(=O)C(CCCC(=O)OCCCCCCCCCCCCCC)(CCCC(=O)OCCCCCCCCCCCCCC)N(Cc1cccnc1)C(=O)CCCCCCCCCCCCC,A52,c1ccncc1CN,Is6,NCCCCCCCC/C=C\CCCCCCCC,K43,OCCCCCCCCCCCCCC,Ac12,C(=O)CCCCCCCCCCCCC,ARCH_HEAD_LINKER_TAILA_TAILB,4CR
LNPhub_2V00000025,CCOC(=O)CNC(=O)C(CCCC(=O)OC/C=C(\C)CCC=C(C)C)(CCCC(=O)OC/C=C(\C)CCC=C(C)C)N(C(=O)C[C@H](C)CCC=C(C)C)C12C[C@H]3C[C@@H](C1)C[C@@H](C2)C3,A40,N(C12C[C@H]3C[C@H](C[C@H](C3)C1)C2),Is1,NCC(=O)OCC,K15,OC/C=C(C)/CCC=C(C)C,Ac44,C(=O)C[C@H](C)CCC=C(C)C,ARCH_HEAD_LINKER_TAILA_TAILB,4CR
LNPhub_2V00000026,CCCCCCCCC(CCCCCC)C(=O)N(CCN1CCCCC1CC)C(CCCC(=O)OCCCCCCC)(CCCC(=O)OCCCCCCC)C(=O)NCCCn1cccn1,A41,C1(CC)CCCCN1CCN,Is8,NCCCn1nccc1,K36,OCCCCCCC,Ac18,C(=O)C(CCCCCC)CCCCCCCC,ARCH_HEAD_LINKER_TAILA_TAILB,4CR
LNPhub_2V00000027,CCCCCCCC/C=C\CCCCCCCC(=O)N(CCN1CCCCC1)C(CCCC(=O)OCC(CC)CCCC)(CCCC(=O)OCC(CC)CCCC)C(=O)NCCCn1cccn1,A19,C1CCCCN1CCN,Is8,NCCCn1nccc1,K27,OCC(CC)CCCC,Ac19,C(=O)CCCCCCC/C=C\CCCCCCCC,ARCH_HEAD_LINKER_TAILA_TAILB,4CR
LNPhub_2V00000028,CCCCCCCCCCCCCCCCOC(=O)CCCC(CCCC(=O)OCCCCCCCCCCCCCCCC)(C(=O)NCC(=O)OCC)N(CCCN1CCOCC1)C(=O)C12C[C@H]3C[C@@H](C1)C[C@@H](C2)C3,A50,C1COCCN1CCCN,Is1,NCC(=O)OCC,K45,OCCCCCCCCCCCCCCCC,Ac31,C(=O)C12C[C@H]3C[C@H](C[C@H](C3)C1)C2,ARCH_HEAD_LINKER_TAILA_TAILB,4CR
LNPhub_2V00000029,CC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CCC(=O)N(CCCN1CCCCC1)C(CCCC(=O)OCCCCCCC)(CCCC(=O)OCCCCCCC)C(=O)NC(C)(C)C,A17,C1CCCCN1CCCN,Is3,NC(C)(C)C,K36,OCCCCCCC,Ac22,C(=O)CC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CC,ARCH_HEAD_LINKER_TAILA_TAILB,4CR
LNPhub_2V00000030,C[C](CCC=C(C)C)CC(=O)N(CCn1ccnc1)C(CCCC(=O)OC1CCC[C@@H]2CCCC[C@H]12)(CCCC(=O)OC1CCC[C@@H]2CCCC[C@H]12)C(=O)NC12C[C@H]3C[C@@H](C1)C[C@@H](C2)C3,A45,c1cncn1CCN,Is7,NC12C[C@H]3C[C@H](C[C@H](C3)C1)C2,K6,OC8[C@H]9CCCC[C@H]9CCC8,Ac53,C(=O)C[C@@](C)CCC=C(C)C,ARCH_HEAD_LINKER_TAILA_TAILB,4CR
LNPhub_2V00000031,C=C1CC[C](OC(=O)CCCC(CCCC(=O)O[C]2CCC(=C)/C(=C\C=C3/CCC[C@@]4(C)[C]3CC[C]4[C@@H](C)/C=C/[C@H](C)C(C)C)C2)(C(=O)NCCCCCCCC/C=C\CCCCCCCC)N(CCC(C)N(C)CC)C(=O)CCCCCCCC/C=C\CCCC)C/C1=C/C=C1\CCC[C@@]2(C)[C]1CC[C]2[C@@H](C)/C=C/[C@H](C)C(C)C,A21,CCN(C)C(C)CCN,Is6,NCCCCCCCC/C=C\CCCCCCCC,K29,O[C@@]1CCC(=C)/C(C1)=C\C=C2/CCC[C@@]3(C)[C@]2CC[C@]3[C@@H](C)/C=C/[C@H](C)C(C)C,Ac28,C(=O)CCCCCCCC/C=C\CCCC,ARCH_HEAD_LINKER_TAILA_TAILB,4CR
LNPhub_2V00000032,CCCCCCCC/C=C\CCCCCCCC(=O)N(C(C)C12C[C@H]3C[C@@H](C1)C[C@@H](C2)C3)C(CCCC(=O)OCC(CC)CCCC)(CCCC(=O)OCC(CC)CCCC)C(=O)NCC(=O)OC(C)(C)C,A42,N(C(C)C12C[C@H]3C[C@H](C[C@H](C3)C1)C2),Is2,NCC(=O)OC(C)(C)C,K27,OCC(CC)CCCC,Ac19,C(=O)CCCCCCC/C=C\CCCCCCCC,ARCH_HEAD_LINKER_TAILA_TAILB,4CR
LNPhub_2V00000033,C=C(C)[C]1CC=C(COC(=O)CCCC(CCCC(=O)OCC2=CC[C](C(=C)C)CC2)(C(=O)NCC(=O)OC(C)(C)C)N(CCn2cccn2)C(=O)CCCCC)CC1,A4,n1cccn1CCN,Is2,NCC(=O)OC(C)(C)C,K11,OCC7=CC[C@](C(=C)C)CC7,Ac4,C(=O)CCCCC,ARCH_HEAD_LINKER_TAILA_TAILB,4CR
LNPhub_2V00000034,CCCCCCCCCC(=O)N(CCC(C)N(C)CC)C(CCCC(=O)OC(C1CCCCC1)(C1CCCCC1)C1CCCCC1)(CCCC(=O)OC(C1CCCCC1)(C1CCCCC1)C1CCCCC1)C(=O)NCC(=O)OCC,A21,CCN(C)C(C)CCN,Is1,NCC(=O)OCC,K18,OC(C7CCCCC7)(C8CCCCC8)C9CCCCC9,Ac8,C(=O)CCCCCCCCC,ARCH_HEAD_LINKER_TAILA_TAILB,4CR
LNPhub_2V00000035,COC(=O)CNC(=O)C(CCCC(=O)OC/C=C(\C)CC/C=C(\C)CCC=C(C)C)(CCCC(=O)OC/C=C(\C)CC/C=C(\C)CCC=C(C)C)N(CCCCN1CCCCC1)C(=O)CC1[C@H]2C[C@@H]3C[C@@H](C[C@H]1C3)C2,A12,C1CCCCN1CCCCN,Is0,NCC(=O)OC,K13,OC/C=C(C)/CC/C=C(C)/CCC=C(C)C,Ac30,C(=O)CC1[C@H]2C[C@@H]3C[C@H](C2)C[C@H]1C3,ARCH_HEAD_LINKER_TAILA_TAILB,4CR
LNPhub_2V00000036,CCCCCCCC(CCCCC)COC(=O)CCCC(CCCC(=O)OCC(CCCCC)CCCCCCC)(C(=O)NCC(=O)OCC)N(CCCN1CCCCC1CC)C(=O)C1CCCCC1,A36,C1(CC)CCCCN1CCCN,Is1,NCC(=O)OCC,K25,OCC(CCCCC)CCCCCCC,Ac39,C(=O)C8CCCCC8,ARCH_HEAD_LINKER_TAILA_TAILB,4CR
LNPhub_2V00000037,CC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CCCC(=O)N(CCN1CCCCC1)C(CCCC(=O)OCCCCCCCCCCCCCCCC)(CCCC(=O)OCCCCCCCCCCCCCCCC)C(=O)NCC(=O)OCCCCCCCC/C=C\C/C=C\CCCCC,A19,C1CCCCN1CCN,Is9,NCC(=O)OCCCCCCCC/C=C\C/C=C\CCCCC,K45,OCCCCCCCCCCCCCCCC,Ac24,C(=O)CCC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CC,ARCH_HEAD_LINKER_TAILA_TAILB,4CR
LNPhub_2V00000038,CCCCCC(=O)N(CCCN1CCN(CCCO)CC1)C(CCCC(=O)OCC(CCC)CCC)(CCCC(=O)OCC(CCC)CCC)C(=O)NC1[C@H]2C[C@@H]3C[C@@H](C[C@H]1C3)C2,A26,C1CN(CCCO)CCN1CCCN,Is10,NC1[C@H]2C[C@@H]3C[C@H](C2)C[C@H]1C3,K26,OCC(CCC)CCC,Ac4,C(=O)CCCCC,ARCH_HEAD_LINKER_TAILA_TAILB,4CR
LNPhub_2V00000039,CCCC/C=C\CCCCCCCCC(=O)N(CCCCCCCC/C=C\CCCCCCCC)C(CCCC(=O)OCC)(CCCC(=O)OCC)C(=O)NC1CCCCC1,A0,N(CCCCCCCC/C=C\CCCCCCCC),Is4,NC1CCCCC1,K32,OCC,Ac28,C(=O)CCCCCCCC/C=C\CCCC,ARCH_HEAD_LINKER_TAILA_TAILB,4CR
LNPhub_2V00000040,CCCCCCCCCCCCCCCCCCOC(=O)CCCC(CCCC(=O)OCCCCCCCCCCCCCCCCCC)(C(=O)NCCCC)N(CCC1CCN(CC)CC1)C(=O)C1CCCC1,A28,C1CN(CC)CCC1CCN,Is5,NCCCC,K47,OCCCCCCCCCCCCCCCCCC,Ac38,C(=O)C8CCCC8,ARCH_HEAD_LINKER_TAILA_TAILB,4CR
LNPhub_2V00000041,CCCCC/C=C\C/C=C\CCCCCCCCOC(=O)CNC(=O)C(CCCC(=O)OCCCCCC)(CCCC(=O)OCCCCCC)N(CCN1CCCCC1CC)C(=O)CCCCCCCCCCCCC,A41,C1(CC)CCCCN1CCN,Is9,NCC(=O)OCCCCCCCC/C=C\C/C=C\CCCCC,K35,OCCCCCC,Ac12,C(=O)CCCCCCCCCCCCC,ARCH_HEAD_LINKER_TAILA_TAILB,4CR
LNPhub_2V00000042,CCCCCCCCCCCCCCC(=O)N(CCCN(CCCC)CCCC)C(CCCC(=O)OCC(CCCCCCCCCC)CCCCCCCCCCCC)(CCCC(=O)OCC(CCCCCCCCCC)CCCCCCCCCCCC)C(=O)NCCCC,A34,N(CCCC)(CCCC)CCCN,Is5,NCCCC,K21,OCC(CCCCCCCCCCCC)CCCCCCCCCC,Ac13,C(=O)CCCCCCCCCCCCCC,ARCH_HEAD_LINKER_TAILA_TAILB,4CR
LNPhub_2V00000043,CCCCCCOC(=O)CCCC(CCCC(=O)OCCCCCC)(C(=O)NC1CCCCC1)N(C(=O)C1[C@H]2C[C@@H]3C[C@@H](C[C@H]1C3)C2)C(C)(C)CNCCO,A39,OCCNCC(C)(C)N,Is4,NC1CCCCC1,K35,OCCCCCC,Ac29,C(=O)C1[C@H]2C[C@@H]3C[C@H](C2)C[C@H]1C3,ARCH_HEAD_LINKER_TAILA_TAILB,4CR
LNPhub_2V00000044,C=C(C)[C]1CC=C(COC(=O)CCCC(CCCC(=O)OCC2=CC[C](C(=C)C)CC2)(C(=O)NCC(=O)OCC)N(CCC(C)N(C)CC)C(=O)C(CCCCCC)CCCCCCCC)CC1,A21,CCN(C)C(C)CCN,Is1,NCC(=O)OCC,K11,OCC7=CC[C@](C(=C)C)CC7,Ac18,C(=O)C(CCCCCC)CCCCCCCC,ARCH_HEAD_LINKER_TAILA_TAILB,4CR
LNPhub_2V00000045,CC/C=C\C/C=C\C/C=C\CCCCCCCCC(=O)N(C(C)(C)CN(C)C)C(CCCC(=O)OCC1C[C@H]2C=C[C@@H]1C2)(CCCC(=O)OCC1C[C@H]2C=C[C@@H]1C2)C(=O)NC(C)(C)C,A23,CN(C)CC(C)(C)N,Is3,NC(C)(C)C,K8,OCC1C[C@@H]2C[C@H]1C=C2,Ac21,C(=O)CCCCCCCC/C=C\C/C=C\C/C=C\CC,ARCH_HEAD_LINKER_TAILA_TAILB,4CR
LNPhub_2V00000046,CCCCCCCC/C=C\CCCCCCCC(=O)N(CCCN(C(C)C)C(C)C)C(CCCC(=O)OCCCCCC)(CCCC(=O)OCCCCCC)C(=O)NCCCn1cccn1,A37,N(C(C)C)(C(C)C)CCCN,Is8,NCCCn1nccc1,K35,OCCCCCC,Ac19,C(=O)CCCCCCC/C=C\CCCCCCCC,ARCH_HEAD_LINKER_TAILA_TAILB,4CR
LNPhub_2V00000047,CCCCC/C=C\C/C=C\CCCCCCCCOC(=O)CCCC(CCCC(=O)OCCCCCCCC/C=C\C/C=C\CCCCC)(C(=O)NCC(=O)OCCCCCCCC/C=C\C/C=C\CCCCC)N(C(=O)C1CCCCCCCCCC1)C1[C@H]2C[C@@H]3C[C@@H](C[C@H]1C3)C2,A7,N(C1[C@@H]2C[C@H]3C[C@@H](C2)C[C@@H]1C3),Is9,NCC(=O)OCCCCCCCC/C=C\C/C=C\CCCCC,K0,OCCCCCCCC/C=C\C/C=C\CCCCC,Ac41,C(=O)C8CCCCCCCCCC8,ARCH_HEAD_LINKER_TAILA_TAILB,4CR
LNPhub_2V00000048,CCCCNC(=O)C(CCCC(=O)OC1[C@H]2C[C@@H]3C[C@@H](C[C@H]1C3)C2)(CCCC(=O)OC1[C@H]2C[C@@H]3C[C@@H](C[C@H]1C3)C2)N(C(C)=O)C1CCN(C)CC1,A25,C1CN(C)CCC1N,Is5,NCCCC,K48,OC1[C@H]2C[C@@H]3C[C@H](C2)C[C@H]1C3,Ac0,C(=O)C,ARCH_HEAD_LINKER_TAILA_TAILB,4CR
LNPhub_2V00000049,COC(=O)CNC(=O)C(CCCC(=O)OC(C1CCCCC1)(C1CCCCC1)C1CCCCC1)(CCCC(=O)OC(C1CCCCC1)(C1CCCCC1)C1CCCCC1)N(CC(C)(C)CN(C)C)C(=O)C[C@H](C)CCC=C(C)C,A29,CN(C)CC(C)(C)CN,Is0,NCC(=O)OC,K18,OC(C7CCCCC7)(C8CCCCC8)C9CCCCC9,Ac44,C(=O)C[C@H](C)CCC=C(C)C,ARCH_HEAD_LINKER_TAILA_TAILB,4CR
LNPhub_2V00000050,CCCCCCCCCCCCCOC(=O)CCCC(CCCC(=O)OCCCCCCCCCCCCC)(C(=O)NC1CCCCC1)N(CCCN1CCCCCC1)C(=O)[C@@H]1C[C@H]2C=C[C@@H]1C2,A20,C1CCCCCN1CCCN,Is4,NC1CCCCC1,K42,OCCCCCCCCCCCCC,Ac52,C(=O)[C@@H]1C[C@@H]2C[C@H]1C=C2,ARCH_HEAD_LINKER_TAILA_TAILB,4CR
LNPhub_2V00000051,CCCCCCCOC(=O)CCCC(CCCC(=O)OCCCCCCC)(C(=O)NCCCn1cccn1)N(CCCN1CCCCC1)C(=O)C[C](C)CCC=C(C)C,A17,C1CCCCN1CCCN,Is8,NCCCn1nccc1,K36,OCCCCCCC,Ac53,C(=O)C[C@@](C)CCC=C(C)C,ARCH_HEAD_LINKER_TAILA_TAILB,4CR
